title,review,First violation,Second violation,Third violation
Life 360,This app is awful as a mother I know that it is going to make my kids want to keep things from me and they don’t need to be tracked down all the time we are parents we are better than that. So in my opinion my kid needs privacy and when I was a kid I knew I wouldn’t have wanted my parents tracking me like this app able so.,Free will,Attention,Visibility
No safety.,"This app is not well monitored. Do not let anyone use it, I wouldn’t even recommend adults using it. Momo is evil, a character that tells you how to kill yourself and others. This character also tells the child not to tell their parents because it will come and kill them and their family. The safety of our kids are in danger because this app seems to be happy and cute, but has been manipulated by people who want to hurt people through threatening children.",Honesty,Visibility,Truth
Invasion of privacy and awful,I get it parents want their child to be safe and out of harmful situations but this app only feeds to already protective parents who act like it’s a life line. Not to mention being questioned literally anywhere I go with questions like who were you with? Why were you here? Was their any girls? Frankly it’s embarrassing enough explaining it to my friends but having to constantly inform my parents about my whereabouts is tiring and quite creepy. Please do your children a favor and do not download this app it does not benefit anyone except already paranoid parents who are borderline psychopathic,Visibility,Power,Free will
DO NOT DOWNLOAD,"this app ruined my relationship with my mom.  i’m currently a teenager and so is my brother so my mom thought it was a good idea to get this app. this app has done nothing helpful for our family. in fact it made things worse. i’ve never been a “bad kid” but my mom doesn’t believe me so she made me download life360. my brother and i are in high school, which is supposed to be when people have fun, hang out with friends, go to parties, live life, and make mistakes so they can learn from them but we can’t do any of this because of this app. by putting a tracker on your kids phone you are showing them that you don’t trust them and you are giving them too strict of rules. by doing this you will make you’re kids want to lash out and be reckless as soon as they grown up and have the chance which could have more consequences than if they were a teen. this app ruins children’s teen life and relationship with their parents please *DONT NOT DOWNLOAD* i wish i could give a 0 out of 5 stars",Free will,Power,Honesty
Awful app,"As a 15-year-old who enjoys my privacy, I do not agree with the morals of this app. Being a teenager does need to have supervision and I get that, but having this app makes any kid look like they have a helicopter parent, which is the worst thing in my eyes for a teen to have. When you parent knows everywhere you are at what times make it hard to be private at all!! To a certain extent, I was threatening to not ever use my phone so they wouldn’t know where I was at ALL! Although the idea of this app is great and could be successful, I feel that the app itself is not good, because teens should get their privacy, unless asked about what they are doing. Having the app on their phone reminds them that their parent is always watching and reviewing what they are doing, which can stop some people from doing enjoyable things during their teen years. I hope any parent that reads this understands and does not get this app because I bet when you (parents) were young, you also didn’t want your parents finding out what your doing all of the time.",Free will,Visibility,Statutes
Terrible horrible evil app,"Please do something about that phone tracking thing, like make a setting that doesn’t let people see your location that’s not airplane mode. My overprotective psycho mom is basically not even allowing me to leave the house and I’m 17 and have never done any sort of wrong doing.",Power,Free will,Statutes
Bad for teens,"This app is horrible for teens it allows overprotective parents to know your very move, for some kids they have abusive parents and now where ever they go it can just get worse for them. This app takes away freedoms and if a kid goes a fast food place w some friends instead of the library to study that’s just a kid thing and now they can’t do anything at all. Not only that it’s terrifying you family can know everything about you phone so for kids that just means no more privacy",Power,Free will,Visibility
incredibly invasive,"hello. i’d like to share why this app is completely wrong and is simply the exploitation of young adults. parents are the main consumer here but the only people truly affected are their children, most who are teens because why would you need to track a 10 year old? this is an incredibly terrible app. it’s like you’re being viewed like a prisoner because everyone knows your every. single. move. and. location. what also is the problem is this created and even worse trust issue between a parent and teen because a parent would be tracking their teen, constantly. parents using this app are just helping their teens become better at lying and deceit. this app is awful.",Free will,Visibility,Statutes
Enables abuse.,This is a horrible app that enables abusive parents and abusive significant others to track someone and control their lives. It’s a horrible application of technology and I am tired of the sickening use of it.,Power,Free will, 
Pls read,"Okay, so obviously as a teen I hate this app very much. I want parents to understand that if they were kids with this kind of technology they would be on it all the time to. Thanks to this app, I’ve completely lost trust in my mom. We used to be very close but then she downloaded this app and that ruined our relationship forever. This app is really bad because whenever she’s mad at anything she takes it out on me by blocking my phone and telling me what a horrible child I am. She used to be a great person before she found this app. Parents if you read this I just want you to know that I’ve done plenty of research and also my brother study’s this in his field of science, children fiercely controlled by there parents are more likely to rebel. Parents, you CANT control us! If this is what you think is right, then you seriously need to get a life and stop living yours through ours because your a loner.",Power,Free will,Truth
concerned parent,"this app is the worst way to parent, I can understand the time of use is for emergencies but it also is a form of stalking. What if the app was hacked and your location was shared with anyone in the world. I dont see the positive outweighing the benefits. Parents need to trust their children and this app is destroying some children’s livelihoods.",Truth,Free will,Visibility
This needs to stop,"This is a completely over controlling app that needs to be taken out of the app store and out of anyone’s reach. For parents using it, you wonder why your kids never talk to you about anything, it’s because you already try to control everything in their lives already. Back up a bit let them be a teenager for god sake. This app is unnecessary, an invasion of privacy, and controlling. Back up people.",Free will,Power,Visibility
Please Don’t download,This app is a horrible way to keep track of someone. It’s also terrible for the parents to track every single move there child is doing. That is not parenting! Would delete this app if I could,Free will,Visibility,Power
Not a good idea,"The app itself works fine without any problems. However, this is horrible for teenagers. Parents should have to trust their children. When parents are tracking their kids every second, the kids feel like their parents don’t trust them, and therefore, the kids don’t trust the parents. It’s hurting family relationships around the whole US. If anything use Find My, apples 1st party tracking software that doesn’t feel like such an invasion of privacy because it lacks features like drive detection and top speed alerts. As a teen, I want to be able to go to a friends house on my own and do what I want, WITHOUT being tracked. Our parents couldn’t be tracked when they were kids, and it’s not fair that they can track us. They were able to have fun during their high school years, while we don’t because they feel the need to be over protective. There is no good outcome from downloading this app. It just makes your last few years as a teen dreadful because you can’t do anything. Kids are actually more willing to run off with Life360 because of built up anger from it and I’m sure there have been suicide attempts as well.  Whatever you do, DONT DOWNLOAD. If you are seriously concerned for your child’s safety, sit down and talk to them about your concerns.",Free will,Power,Visibility
I HATE THIS APP,My parents track me everywhere I go now. I have 0 privacy. And now you're adding a driving feature???? I swear this app was made to ruin teenagers' lives. The creators probably hate children or had over protective parents. Thanks a lot 😒,Free will,Truth,Honesty
Done,If you were a kid and your parents get this your life is officially over you have no more privacy and it’s extremely stupid I cannot believe that we lost all our privacy in this house because my parents wanted to know where I was 24/7 if you are a parent and you were reading this do your kids a favor and do not download it messes with their lives and privacy and it’s just kind of a little bit sick and twisted not a good parenting idea this app may be good if you think your wife is cheating on you but that’s about it please don’t download this to track your kids,Power,Free will,Visibility
Invasion of Privacy,"Teenagers do not want to be tracked at all times. They deserve privacy, no matter the age. Give your children privacy and have trust in them and maybe they wouldn’t give you issues with where they are. This app just goes overboard with the driving reports, phone battery, exact location, etc. If you need to know where someone is or if they lose their phone somewhere they can send you their location, use find my friends, and plenty of other things that don’t tell you their exact location at all times. It is absolutely ridiculous that a parent would have an app that tracks their child everywhere they go. Life 360 should be banned because everyone has a right to privacy and this app just doesn’t allow that.",Free will,Honesty,Visibility
"If anything, unsafe","As a teenager whose parents tracked her up until college, I can say wholeheartedly this app will do nothing but instill fear and distrust in your children. I broke my mother’s heart the day I had to look her straight in the face and tell her I didn’t trust her. The micromanaging will only cause a rift between you and your children such that, if something major were to actually happen, you’re the last person they’d want to turn to. And if emotional turmoil isn’t enough, putting a tracking app on your teenager’s phone will make it more likely that they leave their phone home or in an “acceptable” location while they sneak off and do what they like and in this situation, if something bad were to happen, not only would you be unable to track them, but they’d be unable to call for help. For years kids have found ways to work around helicopter parenting and you may be endangering them by fostering such a negative relationship. My relationship with my mom is fine now, but, if tomorrow I were to fall pregnant, lose all my money, get arrested, or find myself in a situation where I’m surrounded by guns/drugs/shady characters, I would not be calling her. Those bridges, once burned, cannot be rebuilt.",Power,Free will, 
Read Before Downloading,"I’m a mother of three teenagers. While I am worried about where my children are and where they’re going, this app isn’t ethical. Micromanaging your child’s every move creates of major sense of distrust and even resentment in the family. When all of the people who left glowing reviews on this app were teenagers, they did normal teenage  things and were not gps tracked by their parents like dogs. Making your child download this app will make them hate you. Plain and simple. They will not want to even leave the house. This app is an awful stalking tool and the developers should be ashamed of themselves.",Free will,Power,Honesty
Hate It,I can't go anywhere without my mom knowing and questioning why and where I am. I would like to have my privacy away from home with my friends. This app makes me feel like I have no trust from my parents and I'm not a bad kid to begin with.,Free will,Power,Visibility
Ruined my life,"My mom forced me to get this app and it’s really put a restriction on my life. It’s incredibly difficult for me to go out with my friends or my boyfriend and it prevents a trust bond to be formed between me and my mom because she knows she can just rely on this app to figure out where I am. The concept is ideal however I wish there was a way where she doesn’t always have to know where I am. I don’t have any privacy whatsoever and it’s very annoying. Parents, if you really want to know where your kids are just ask don’t put this mobile jail cell on them. Kids, if you’re worried about getting in trouble where you are then you probably shouldn’t be there...use your morals and common sense so developers like this don’t create this app to ruin the lives of people like me who are doing what they are suppose to be doing.",Power,Free will,Honesty
This is ridiculous.,"This app is the perfect method for helicopter parents to continue observing our every move and display clear trust issues against their children. Its weird, creepy, and unsettling that people are willing to develop an app that allows parents to follow their children around everywhere digitally. Children back then had much more freedom whereas you’re considered a revolutionary nowadays if you want to get out of the house with friends. Im even forced to right this as clearly as I can, (not how I usually speak), for adults to get it.

EDIT: How come you don’t respond to the people that your app affects the most? Too afraid to answer the complaints of anyone other than helicopter parents?",Free will,Power, 
terrible,honestly this app is sick. i will never put it on my kids phone. if you have this then you have no trust in your kids and it’s making your relationship with them worse. what if your parents had this on your phone when you were kids? watching your every move. i will have enough trust in my kids for them to tell me where they were going and maybe even not me but one of their friends so somebody knows what they are up to if i need to find out.,Power,Free will, 
An invasion of a child’s privacy,"My friend and her daughter had this app and it was all they talked about with each other. Alway fighting about deleting it and location services. I feel that this app can really break trust. Not to mention the invasion of privacy. I mean, watching your child’s every move? That’s excessive. Children need to learn how to fend for themselves without their parents being the push of a button away.",Free will,Visibility,Power
"Great idea, flawed APP","I agree with others, the APP is slow. The major issue I have with the APP is the adjustability of the functions. If someone is added as caregiver they can track and auto answer the device at anytime. This posses a big privacy issue even if the caregivers are family. You don’t want someone listening in on you while the watch is lying on the table charging. These options should have separate on/off for each person and be controlled by designated primary caregivers. Plus the tracking is invasive as well. You want the person watching your child to be able to track them in case they get lost but you don’t want them to track her once shes picked up from her parents. The APP only gives the option to turn the person off as caregiver and/or on. There should be more middle ground.",Free will,Truth,Power
Terrible for family relationships,"The app itself is great, and the idea seems fantastic. However, Life 360 and other apps like it promote invasion of privacy among other bad ideas. This app allows others to see where one person is in their groups. There are times where this said person is going to do something personal and doesn’t want others to see where they are going. However, the only way to do that is to log out or delete the app. This app also promotes lack of trust, respect, and responsibility. When a parent creates a group, they add their children into the group. Once the kids are added, the parents can track their children 24/7. Parents say they trust their children and want to give them responsibility but how does parents constantly checking where their children are show that. There are no boundaries. Like I said the app is great, it just promotes bad ideas.",Free will,Power,Truth
People that made this obviously are parents,"Love how u guys made an app to completely negate my privacy so my parents and family know exactly where I am at all times. Great at what it does but what it does is garbage, if u want ur kids to hate u make them download this app.",Power,Free will,Visibility
HATE THIS SO MUCH!!!!,this app is for controlling parents and need to know where there kids are every second of every day. Why is there a &#34;history&#34; feature that tells u where ur kid was at any time on any given day. This app makes me wanna punch my mom in the face because I'm a perfect child who doesn't need to be tracked every second of my life!!!!! My mom texts me when I'm with my friends saying &#34;why are you on ___ rd.?? LIKE WHO CARES WHAT ROAD IM ON R U SERIOUS???? I'm not stupid and I don't put myself in bad situations. This app is just for idiotic parents who can't trust their kids even if they have never broken it.,Free will,Visibility,Truth
its all about trust,parents should be able to trust their children and downlading this app will not help ur relationship with ur kids or let them feel like a teenager. ues we do dumb things but its a learning experience. don’t download it,No violation, , 
Horrible app.,"If a parent wants to have a good relationship with their kid, this is the way to NOT ACCOMPLISH THAT. this is teaching your kids how to be sneaky and how to lie and hide things from you. This app should be banned. It’s disgusting. It’s an invasion of space. If you wanna keep your kid safe, that’s what find my phone is for. Not letting your kid be responsible and have privacy is setting your child up for failure in life. Be a better parent. This is disgusting.",Free will, ,Visibility
i hate this app,"if you are a parent concerned about your child’s safety and that’s why you got this app, just use find my iphone (if your kid uses iphone.) if you want to have a good relationship with your kid trust them! also this app just makes kids be sneaky, if they want to sneak out, they would just leave their phone at home which would make the situation worse because they can’t call 911 if they are in danger. if you are a parent thinking about downloading life360, don’t.",Power,Free will,Visibility
Why,"As a teen I must say, I hate you. Why would you make this? It literally tracks our location so we can’t get in any trouble. We already have strict enough parents and now this!? You were teens once, would you want your parents to know what you did. It’s an invasion of privacy an app used to control teens",Free will,Power,Visibility
No Privacy,"This app has caused more arguments in my family than anything else- it does more harm than good. Parents, please give your children the privacy they deserve as human beings. This is wrong. It enables parents to stalk their child's every move and invade their privacy.",Free will,Power,Visibility
my review,i had an awful experience with this app. as a parent i believe that parents need to have a real trust worthy relationship with their kids instead of stalking them on this app. parents need to trust their kids more and with that comes their kids talking to them about EVERYTHING,Power,Free will,Visibility
no,this app is a snitch. like i don’t do anything but like this gets kids in trouble and is teaching sneaky ways and things to teens. this app shows that parents do not trust their children and that they feel the need to track them. this app is just a no because it is only for overprotective parents who have nothing better to do than track their teens:)),No violation, , 
ruined my life,"my parents are crazy strict and so in turn I have literally never been allowed to do anything without them knowing every single detail. i understand this is &#34;for my safety&#34; but it is to the point where i will go to great lengths to trick my location or ill even leave my phone at home to go to just a friends house. which is more dangerous if i am without my phone. if you are a parent please do not download this app, use trust with your kid & if you respect them they will respect you back. if you are invasive and if you push them they will push back. if you like your kids do NOT use this app.",Power,Free will,Visibility
Parents read this,"Any parent who uses this to track their kids who don’t wanna be tracked are terrible parents, as parents when you were kids did you get tracked using phones? No you didn’t so why should you ruin your kids teenage years by tracking them ever where they go, it’s truly disgusting that parents use this, it’s not keeping them safe its making them develop sneaking habits and leaving their phone at home so they don’t have a way to contact someone in case of an emergency. So  Next time you go to track your kid think about how much danger YOU are putting them in.",Free will,Visibility,Power
Ruins lives.,"This app ruins children's lives and doesn't give them any privacy whatsoever. Everyone should have the right to have their own time, and own privacy without being watched every second. I understand this is an app for watching where your children are and knowing their exact location but people are using this constantly not giving their children any privacy. It's overbearing and needs to end. It's quite disgusting actually.",Free will,Honesty,Truth
super controlling,this app is really controlling and is for very young kids because it literally tells you everything that your kid is doing. your kid would feel like their parents don’t trust them if they’re over 10.,Power,Free will,Statutes
Hate this app,"Thank you for creating a app that will let my parents invade me of my personal space I do nothing wrong I am honestly a good kid, but the fact that they do not trust me enough to tell the truth of where I am is unnecessary. The makers of this app really want to ruin kids lives by giving overprotective parents a way of putting a &#34;tracking chip&#34; in their phone.",Power,Visibility,Free will
Please read and consider this,"For the love of god people do NOT subject anyone you love or care about to this app! Parents, downloading this app on your kids phones implies to them that you do not trust them and that you think they’re too stupid to make the right decisions for themselves. If you want your children to go into adulthood not knowing what to do with themselves because they have had their every movement tracked by their parents on a creepy stalker app, then this is the app for you. This app is like a prison sentence for teens that have done nothing wrong. The argument that “I want to know where my kids are” is valid but generations before us never stalked their children’s every move when they went out. I firmly believe that this app will prove to be nothing but harmful towards relationships between parents and children. This app is manipulative and just downright creepy. So please, if you’re thinking about setting your family up on this app, think about the consequences.",Visibility,Free will,Honesty
Worst,"This is why the new generation has issues bc the parents are all over protective freaks and no one learns anything because of apps like this that by the way you can hardly have control over what people see. Any one that uses this app is a terrible parent and should reconsider their methods. You don't need to know exactly where your child is every second of the day, and if you think you do grow up. I understand if maybe your child has a bad background or something that's your own problem but for most kids is flat out creepy and disturbing and created trust issues.",Free will,Power,Visibility
"Honestly, I would have given it less","I believe this app is going to split my family. I just turned 18 and want a chance on my own. My mom has always been a helicopter mom, but she backed off a little when I got older. Now for some reason only God knows, her friend has recommended it to her. Except, her daughter has a boyfriend she’s sexually active with, and smokes. And parties. I’m a homebody, and everyone in my family knows it. Suddenly, I get a boyfriend and whoops. I now must have a tracker on me for some goddamn reason. I think this is terrible. It’s like Big Brother is just becoming our parens. Maybe his will really get me to stop using my technology. And not bring my phone everywhere. Just as my parents intended. Parents, if you want this app, just realize that you are going to cause distrust.",Power,Free will,Visibility
No words,"This app is for incredibly overprotective parents who don't trust their children at all. If you want your child to have to more fun and be afraid to leave the house, this app is for you.",No violation, , 
Terrible,"This app is horrid. This kind of invasion of privacy should be illegal, I understand as parents we should keep our children safe but reading their conversations and limiting the apps they can use? Not not only does this imply your terrible parenting or how badly you raise your child(because if you raise them right there is no need for this) but you loose their trust and they WILL hate you. Heck they might even not want to live this way anymore. Delete while you still can.",Free will,Power, 
i hate it,"a friend recently recommended this app to my mother. now, she downloaded the app and uses it whenever she feels i mess up. im a teen. i mess up a lot. she’s a controlling mother. this is not the way to motivate me to do better. i repeat. i am a teen. i make mistakes. but when you use that. you control my life. @mom: your always telling me that i shouldn’t let my father control me or you. but guess what. your making my life miserable and there’s nothing i can do. i feel worthless",Free will,Power,Visibility
Review,"This is something that you will want to really think about before buying. So I went to a school show and a guy was up on stage telling us about the dangers of phones. So we looked into some apps and found this. It is actually tearing our family apart. Before that app my kids and I had a very good relationship and they had very good behavior. Now my kids hate me and to get back at me they are rebelling against me and breaking rules on purpose. It results in harmful thoughts and unhealthy behavior. There are also the safety concerns. If your kids are home alone and you turn of the app, if there is an emergency they can not reach you. There is also educational problems. If your children are trying to do school work and the phone or electronic is turned off they can not do it. This is something as a parent that I deeply regret.",Truth,Honesty, 
Seriously.,"This app is too much. Go away. To all of you parents, unless your child is unruly this is unnecessary. I don't need my dad calling me a panicked frenzy because I left the house to check the mail. Thanks but no thanks.",No violation, , 
Kiss your life goodbye,Not a very good app. I was laying in my room and I got yelled at because the app said I was somewhere else but really I was just watching Netflix in my room. I can't even go out to dinner w out my mother stalking my every move. Do not let your parents download this app- parents if you love your kids don't download it.,Power,Statutes,Truth
the karen of apps,"not only does this app support INVASION OF PRIVACY, but it ruins trust between parents and their children when they become controlling and make the kids download this app. you have created an app thats breaking families. if kids ever find theirselves in an incident they should feel safe coming to their parents. now kids are leaving their phones places because they are scared of this app tracking them. this means they will not have a phone for emergency reasons. this app is making kids more in danger than it is helping them stay safe!!! horribly idea. trust is stronger than an app.",Power,Free will,Free Will
What a joke!,"This app is ridiculous. I am a single father of 2 children, a son and a daughter both under the age of 3. I am also a registered sex offender. Yes that's right I'm on the list and the information isn't even close to correct. I am not a monster and I am an excellent father who made the mistake of sleeping with a girl who I did not know was under-aged. People are downloading this thinking they are safe with the knowledge. LOL Dont they realize the chances of an offender is less then 10% that he/she will be a stranger! That's right people. Over 90% that it will be a FAMILY member or close family friend. Wake up people and try being a responsible parent instead of an absent parent afraid of the world!",Honesty ,Visibility,Power
worst app ever,"this is seriously the most ridiculous thing I’ve ever seen. just perfect for controlling mothers who have zero trust in their families! if you download this app and track your kids on it, be ready for some serious mental, relationship, and trust issues with your children!",Free will,Power,Statutes
Horrible app,"While this app can be used for safety concerns and issues in dangerous areas where you are worried for your families safety, for the most part it’s not used for that. There are many cases of families with this app where their teenage kids had this app, and were caught somewhere they were not supposed to be, creating distrust in the family eventually setting up to toxic relationships, and broken families. Parents should not be controlling their kids like this and instead have trust in them and raise them to not do anything bad in the first place. If you want this app to control a kid then you have bigger issues as a parent then where your kid will be.",Power,Honesty ,free will
Terrible,"This app is an invasion of privacy, doesn’t allow anyone any type of freedom. This is just an app for overly protective parents to condemn their children. This app is just gonna make kids find new ways to evade their parents parental control. I don’t recommend this app at all, everyone I know who’s parents made them get this app, hate it, it’s like they’re constantly being watched and kept from exploring life. Growing up is all about experiences and life lessons and this app is going to get a lot of kids in trouble for just being kids. This app should be deleted from the App Store and never be used again.",Power,Free will,Statutes
Don’t ruin your relationship with your kids,I’m a teenager and I hate this app just because my mom and dad are constantly watching my every move and I just have no personal space anymore. If you’re a parent please don’t do this to your child honestly. It will ruin your relationship with them.,Power,Free will ,Statutes
Remove this app,"I am 14 going on 15 years old, and this app is starting to cause a break in my relationship with my parents. Before, they trusted me all the time, but now I get endless text messages whenever I go to my friends’ houses telling me to send them pictures of us together. I am a responsible student who makes good grades, and I think it’s absolutely disgusting how this app lets parents micromanage their kids lives to the point that they know what speed they are going in a car and the exact time they leave or arrive at certain locations. If you are a parent reading this, for your kids and your sake, DO NOT download this. I hope that the now millionaire/billionaire creators of this app someday realize what they have done to families across America and their kids.",Free will,Power,Statutes
invasive,"as a teenager who has always obeyed my parents rules, having this app implemented on me has absolutely ruined my trust in and frankly respect for my parents it tracks your every move and takes away any sense of independence. if you get this app please talk to your child about it. respect how they feel about it. also, for those of you thinking this app is helping your kid be safer and whatnot, know that kids are going to find ways around anything, including the restrictions of this app. forcing them to download this app will only encourage rebellion.",Honesty,Visibility,Free will
Life 360,"This app actually does not track my kids. It’s ruins your teens fun, and being a kid. If you really wanted your kid to be safe enough that you can trust them, then you should parent them better. And if u can’t trust your kid then, I think it’s pretty obvious that you didn’t parent well enough. Let your kids live, be a teen. Teens are supposed to make mistakes and learn from them, but how can thy learn from them if you take away the chance to even make them in the first place. Don’t be THAT mom. Be a cool mom.",Free will, ,Honesty
horrible,"i hate this app, it makes my life a living hell. i am constantly mad at my mom when she blocks phone. Also my social dies little by little and i lost trust in my mother. i do not recommend this app to anyone, it is the worst and kids don’t deserve THIS.",Free will,Power, 
"To the parents considering this app,","THIS is how you develop permanent trust issues with your children - tracking them constantly, seeing their phone usage, etc. This is considered stalking if it’s someone you aren’t related to. Not only is it an unhealthy level of controlling, it’s UNNECESSARY. A lot of these reviews say “it gives me piece of mind, knowing [my child] got [somewhere via car] safely” etc. It is just as easy to have your child text/call when they arrive somewhere, and no update? No car. 

If you think tracking your child’s every movement is justified or needed, you need to rethink your parenting. If you think your child will trust (or respect) YOU after this, even years after, you’re wrong. Take it from a young adult who’s parents did something similar (went through my phone, tracked my location, etc.).",Power,Free will,Free will 
Horror app,I was having an amazing summer. Until my mother was introduced to this app. Now i am grounded and i cant live my life. This is not a &#34;safe&#34; app that will &#34;protect&#34; your children. It will piss off your children and make them leave their phone at another persons house and then be in major danger with no way of communicating with anybody. So rethink getting this app and killing your teen. This is MURDER. MY CHILDHOOD IS RUINED. I SHALL HATE THIS APP FOR ETERNITY.,Power,Free will,Visibility
Severely needs GPS accuracy,"Horrible, this app seems to be &#34;perfect&#34; because most location it finds however at times it spontaneously throws it off. My boyfriend woke me up 3:00 am accusing me that was at some other location than my house for hours. When in reality I was home. This can be 
dangerous for the people who use it to protect their children, this app needs to work out the bugs in it.",Truth,Honesty, 
INVASION OF PRIVACY,This app sounds like a good idea for moms and their little children perfect to keep a nice little eye on them to make sure they are safe. :) Right?!? Well welcome to the real world. It's called (INVASION OF PRIVACY) Don't download this app!!! Your family will be far better off. All your friends and family don't have the right to know where you are all the time!!!,Visibility,Free willl,Truth
Word of advice to helicopter parents-,"I’m 24, living on my own with my significant other, 1700 miles away, and my parents refuse to get rid of this app. It was cute when this app was popular six years ago, but now my mom uses it as a crutch. 

Please, don’t be these parents. Let your kids “touch the boat” without mortal fear for their lives. Use this app wisely and in moderation.",Honesty,Power,Free willl
